"Datenmodell","Kategorie","Tabellenname","Beschreibung","Anmerkung","Datenumfang","Verfügbare BJ","BJ 2019","BJ 2020","BJ 2021","BJ 2022","BJ 2023","BJ 2024"
"DM4","außerklinischer Intensivpflege (AKI)","AKIFALL","Fälle der Versorgung mit außerklinischer Intensivpflege (AKI)","","???","2024","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE"
"DM4","außerklinischer Intensivpflege (AKI)","AKIEINS","Einsätze und Leistungstage der Versorgung mit außerklinischer Intensivpflege (AKI)","","???","2024","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE"
"DM4","außerklinischer Intensivpflege (AKI)","AKILEIST","Leistungen der Versorgung mit außerklinischer Intensivpflege (AKI)","","???","2024","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE"
"DM4","außerklinischer Intensivpflege (AKI)","AKIVO","Verordnung der Versorgung mit außerklinischer Intensivpflege (AKI)","","???","2024","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE"
"DM4","außerklinischer Intensivpflege (AKI)","AKIDIAG","Diagnosen der Verordnung von außerklinischer Intensivpflege (AKI)","","???","2024","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE"
"DM4","Hebammenhilfe","HEBFALL","Fälle der Versorgung mit Hebammenhilfe","","???","2024","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE"
"DM4","Hebammenhilfe","HEBLEIST","Leistungen der Versorgung mit Hebammenhilfe","","???","2024","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE"
"DM4","Hebammenhilfe","HEBDIAG","Diagnosen der Versorgung mit Hebammenhilfe","","???","2024","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE"
"DM4","DiGA","DIGAFALL","Fälle der Versorgung mit digitalen Gesundheitsanwendungen (DiGA)","","???","2024","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE"
"DM4","Pflege","PFL","Pflegegrad und Leistungsarten in der pflegerische Versorgung","","???","2024","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE"
